背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
1,1,2020年9月7日,comical,3,8,,58,,
1,1,2020年9月7日,concrete,3,8,,60,,
1,1,2020年9月7日,considerate,3,8,,58,,
1,1,2020年9月7日,consideration,3,8,,60,,
1,1,2020年9月7日,critique,3,8,,62,,
1,1,2020年9月7日,divorce,3,8,,61,,
1,1,2020年9月7日,expand,3,8,,62,,
1,1,2020年9月7日,grant,3,8,,63,,
1,1,2020年9月7日,harbor,3,8,,65,,
1,1,2020年9月7日,imperfection,3,8,,64,,
1,1,2020年9月7日,physiological,3,8,,65,,
1,1,2020年9月7日,prolong,3,8,,63,,
1,0,,biographer,3,8,,59,,
1,0,,bother,3,8,,62,,
1,0,,buildup,3,8,,62,,
1,0,,civilization,3,8,,60,,
1,0,,column,3,8,,59,,
1,0,,command,3,8,,59,,
1,0,,comparative,3,8,,58,,
1,0,,comparison,3,8,,61,,
1,0,,conceal,3,8,,65,,
1,0,,concentrate,3,8,,60,,
1,0,,concern,3,8,,58,,
1,0,,considerable,3,8,,60,,
1,0,,construction,3,8,,62,,
1,0,,consult,3,8,,62,,
1,0,,context,3,8,,65,,
1,0,,defend,3,8,,59,,
1,0,,dependence,3,8,,61,,
1,0,,detect,3,8,,64,,
1,0,,disregard,3,8,,63,,
1,0,,donate,3,8,,59,,
1,0,,draft,3,8,,65,,
1,0,,drip,3,8,,64,,
1,0,,economical,3,8,,59,,
1,0,,extreme,3,8,,60,,
1,0,,fame,3,8,,65,,
1,0,,far-reaching,3,8,,64,,
1,0,,fiction,3,8,,61,,
1,0,,flatten,3,8,,58,,
1,0,,graceful,3,8,,59,,
1,0,,harsh,3,8,,62,,
1,0,,harvest,3,8,,59,,
1,0,,headquarters,3,8,,61,,
1,0,,humanity,3,8,,63,,
1,0,,incline,3,8,,60,,
1,0,,inhabitant,3,8,,64,,
1,0,,intend,3,8,,62,,
1,0,,invisible,3,8,,59,,
1,0,,labor,3,8,,58,,
1,0,,loner,3,8,,60,,
1,0,,magnet,3,8,,63,,
1,0,,manufacture,3,8,,65,,
1,0,,micro,3,8,,59,,
1,0,,migrate,3,8,,62,,
1,0,,mobile,3,8,,64,,
1,0,,modernization,3,8,,58,,
1,0,,mythical,3,8,,64,,
1,0,,nest,3,8,,58,,
1,0,,nutrient,3,8,,58,,
1,0,,object,3,8,,60,,
1,0,,obtain,3,8,,65,,
1,0,,occupation,3,8,,61,,
1,0,,outline,3,8,,59,,
1,0,,output,3,8,,65,,
1,0,,pave,3,8,,58,,
1,0,,perform,3,8,,63,,
1,0,,portion,3,8,,63,,
1,0,,predictive,3,8,,61,,
1,0,,preference,3,8,,61,,
1,0,,preservation,3,8,,58,,
1,0,,prime,3,8,,64,,
1,0,,probable,3,8,,61,,
1,0,,profile,3,8,,59,,
1,0,,quantify,3,8,,59,,
1,0,,rapid,3,8,,65,,
1,0,,redefine,3,8,,61,,
1,0,,reduction,3,8,,65,,
1,0,,reflect,3,8,,63,,
1,0,,regularize,3,8,,59,,
1,0,,restless,3,8,,64,,
1,0,,reunite,3,8,,65,,
1,0,,routine,3,8,,64,,
1,0,,scale,3,8,,60,,
1,0,,series,3,8,,64,,
1,0,,settlement,3,8,,62,,
1,0,,shipyard,3,8,,61,,
1,0,,significant,3,8,,60,,
1,0,,simplicity,3,8,,62,,
1,0,,slip,3,8,,61,,
1,0,,somewhat,3,8,,63,,
1,0,,sort,3,8,,62,,
1,0,,spoil,3,8,,60,,
1,0,,spot,3,8,,63,,
1,0,,stock,3,8,,62,,
1,0,,sue,3,8,,61,,
1,0,,survey,3,8,,64,,
1,0,,theme,3,8,,64,,
1,0,,tissue,3,8,,61,,
1,0,,wise,3,8,,61,,
