数据为遗忘率,L3-1,L3-2,L3-3,L3-4,L3-5,L3-6,L3-7,L3-8,L3-9,L3-10,L4-1,L4-2,L4-3,L4-4,L4-5,L4-6,L4-7,L4-8,L4-9,L4-10,L5-1,L5-2,L5-3,L5-4,L5-5,L5-6,L5-7,L5-8,L5-9,L5-10,L6-1,L6-2,L6-3,L6-4,L6-5,L1-1,L1-2,L1-3,L1-4,L1-5,L1-6,L1-7,L1-8,L1-9,L1-10,L1-11,L1-12,L2-1,L2-2,L2-3,L2-4,L2-5,L2-6,L2-7,L2-8,L2-9,L2-10,L2-11,L2-12
2020年9月7日,0.060606,0.05,0.04,0.05,0.01,0.05,0.03,0.12,0.04,0.02542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月8日,,,,,,,,,,,0.06,0.01,0.11,0.02,0.01,0.06,0.040404,0.02,0.09,0.07471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月9日,,,,,,,,,,,,,,,,,,,,,0.09,0.17,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月10日,0.010101,0.01,0.03,0.01,0.01,0.02,0.04,0,0.05,0.008475,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月11日,,,,,,,,,,,,,,,,,,,,,,,,0.489796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月12日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月13日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月14日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月15日,,,,,,,,,,,0.01,0.07,0.1,0.05,0.02,0.11,0.070707,0.03,0.09,0.08621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月16日,,,,,,,,,,,,,,,,,,,,,0.12,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月18日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月19日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月20日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月21日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月22日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月23日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月24日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.01,0,,,,,,,,,,,,
2020年9月25日,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,0.01,0,0.01,0,0,0,0,0,0.01,0
2020年9月26日,,,,,,,,,,,,,,,,,,,,,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年9月27日,0.40404,0.02,0.02,0,0.02,0.04,0.02,0.01,0.05,0.0169492,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年11月3日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.04545
2020年11月20日,,,,,,,,,,,,,,,,,,,,,0.08,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年11月21日,,,,,,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年11月22日,,,,,,,,,,,,,,,,,,,,,,,,0.2245,0.29,0.30303,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年11月23日,,,,,,,,,,,0.05,0.1,0.12,0.14,0.2,0.22,0.1818,0.15,0.27,0.2989,,,,,,,,0.58,0.6667,0.6552,0.94,0.84,0.89796,0.78,0.88,,,,,,,,,,,,,,,,,,,,,,,,
2020年12月12日,0.030303,0.04,0.05,0.05,0.06,0.07,0.06,0.12,0.09,0.0508,,,,,,,,,,,,,,,,,,,,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年12月13日,,,,,,,,,,,0.08,0.09,0.04,0.03,0.02,,,,,,,,,,,,,,0.55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年12月14日,,,,,,,,,,,,,,,,0.18,0.141414141,0.12,0.15,0.126436782,,,,,,,,,0.212121,0.068966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年12月15日,,,,,,,,,,,,,,,,,,,,,0.24,0.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年12月16日,,,,,,,,,,,,,,,,,,,,,,,,0.193877551,0.27,0.323232323,,,0.111111,0.034482759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020年12月17日,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.58,0.161616162,0.103448276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
