背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
,,,beneath,1,3,,251,,
,,,bored,1,3,,251,,
,,,cafeteria,1,1,,245,,
,,,explanation,1,2,,249,,
,,,fee,1,3,,254,,
,,,icy,1,10,,282,,
,,,indeed,1,7,,269,,
,,,invitation,1,3,,254,,
,,,lawful,1,1,,245,,
,,,lightning,1,10,,280,,
,,,lowland,1,1,,244,,
,,,rope,1,5,,260,,
,,,snowfall,1,6,,265,,
,,,timer,1,10,,279,,
,,,tongue,1,4,,255,,
,,,tourism,1,3,,254,,
,,,trip over,1,6,,266,,
,,,tutor,1,9,,276,,
,,,unlikely,1,10,,282,,
,,,watery,1,5,,260,,
,,,yummy,1,4,,256,,
