背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
1,1,2020年9月8日,deliberation,4,4,40,107,,
1,1,2020年9月8日,furnish,4,4,23,106,,
1,0,,accessibility,4,4,85,109,,
1,0,,accord,4,4,78,109,,
1,0,,alternate,4,4,22,106,,
1,0,,analysis,4,4,61,108,,
1,0,,arid,4,4,83,109,,
1,0,,bare,4,4,54,108,,
1,0,,barely,4,4,15,106,,
1,0,,basin,4,4,82,109,,
1,0,,blacken,4,4,30,106,,
1,0,,bore,4,4,76,109,,
1,0,,burst,4,4,51,108,,
1,0,,category,4,4,98,110,,
1,0,,champion,4,4,12,105,,
1,0,,chant,4,4,84,109,,
1,0,,characteristic,4,4,16,106,,
1,0,,citation,4,4,77,109,,
1,0,,cloak,4,4,99,110,,
1,0,,coexistence,4,4,49,107,,
1,0,,colonist,4,4,41,107,,
1,0,,commentary,4,4,86,109,,
1,0,,competitive,4,4,91,110,,
1,0,,complexity,4,4,21,106,,
1,0,,condense,4,4,65,108,,
1,0,,consecutive,4,4,46,107,,
1,0,,conservation,4,4,64,108,,
1,0,,constrict,4,4,42,107,,
1,0,,continuation,4,4,34,107,,
1,0,,cubic,4,4,55,108,,
1,0,,dam,4,4,14,106,,
1,0,,delta,4,4,3,105,,
1,0,,depression,4,4,72,109,,
1,0,,diminish,4,4,50,107,,
1,0,,disastrous,4,4,63,108,,
1,0,,disorderly,4,4,68,108,,
1,0,,disorganized,4,4,11,105,,
1,0,,displace,4,4,45,107,,
1,0,,distrust,4,4,75,109,,
1,0,,dual,4,4,79,109,,
1,0,,durable,4,4,70,109,,
1,0,,emit,4,4,5,105,,
1,0,,enterprise,4,4,87,109,,
1,0,,ethic,4,4,93,110,,
1,0,,fanciful,4,4,60,108,,
1,0,,freight,4,4,52,108,,
1,0,,genetically,4,4,48,107,,
1,0,,glare,4,4,7,105,,
1,0,,grave,4,4,4,105,,
1,0,,hasten,4,4,1,105,,
1,0,,implicit,4,4,29,106,,
1,0,,inappropriate,4,4,32,107,,
1,0,,index,4,4,43,107,,
1,0,,infancy,4,4,28,106,,
1,0,,innovative,4,4,8,105,,
1,0,,inorganic,4,4,10,105,,
1,0,,internal,4,4,36,107,,
1,0,,literary,4,4,27,106,,
1,0,,magnify,4,4,96,110,,
1,0,,mist,4,4,31,107,,
1,0,,moisture,4,4,67,108,,
1,0,,oblige,4,4,53,108,,
1,0,,omit,4,4,92,110,,
1,0,,optical,4,4,37,107,,
1,0,,outermost,4,4,80,109,,
1,0,,parameter,4,4,47,107,,
1,0,,perceive,4,4,88,110,,
1,0,,pinpoint,4,4,9,105,,
1,0,,presence,4,4,2,105,,
1,0,,profound,4,4,24,106,,
1,0,,prompt,4,4,56,108,,
1,0,,protocol,4,4,6,105,,
1,0,,provoke,4,4,44,107,,
1,0,,questionable,4,4,90,110,,
1,0,,rage,4,4,100,110,,
1,0,,receptor,4,4,17,106,,
1,0,,relevance,4,4,59,108,,
1,0,,replacement,4,4,66,108,,
1,0,,resemblance,4,4,94,110,,
1,0,,resent,4,4,39,107,,
1,0,,scrape,4,4,19,106,,
1,0,,selective,4,4,35,107,,
1,0,,shepherd,4,4,13,105,,
1,0,,skeptical,4,4,95,110,,
1,0,,soak,4,4,38,107,,
1,0,,solidify,4,4,73,109,,
1,0,,sparse,4,4,81,109,,
1,0,,swamp,4,4,97,110,,
1,0,,transaction,4,4,26,106,,
1,0,,tribal,4,4,69,108,,
1,0,,trivial,4,4,20,106,,
1,0,,trunk,4,4,33,107,,
1,0,,unbiased,4,4,89,110,,
1,0,,underestimate,4,4,25,106,,
1,0,,utility,4,4,74,109,,
1,0,,venture,4,4,71,109,,
1,0,,vibrate,4,4,62,108,,
1,0,,ward,4,4,18,106,,
1,0,,weave,4,4,58,108,,
1,0,,workload,4,4,57,108,,
