背诵次数,忘记次数,最后一次忘记的日期,word,level,list,序号,页数,备注,助记备注
1,1,2020年9月7日,decline,3,10,,79,,
1,1,2020年9月7日,revenue,3,10,,82,,
1,1,2020年9月7日,shade,3,10,,81,,
1,1,2020年9月7日,cope,3,9,,68,,
1,1,2020年9月7日,disrupt,3,9,,66,,
1,1,2020年9月7日,humble,3,9,,68,,
1,1,2020年9月7日,innovate,3,9,,71,,
1,1,2020年9月7日,comical,3,8,,58,,
1,1,2020年9月7日,concrete,3,8,,60,,
1,1,2020年9月7日,considerate,3,8,,58,,
1,1,2020年9月7日,consideration,3,8,,60,,
1,1,2020年9月7日,critique,3,8,,62,,
1,1,2020年9月7日,divorce,3,8,,61,,
1,1,2020年9月7日,expand,3,8,,62,,
1,1,2020年9月7日,grant,3,8,,63,,
1,1,2020年9月7日,harbor,3,8,,65,,
1,1,2020年9月7日,imperfection,3,8,,64,,
1,1,2020年9月7日,physiological,3,8,,65,,
1,1,2020年9月7日,prolong,3,8,,63,,
1,1,2020年9月7日,con,3,7,,55,,
1,1,2020年9月7日,discipline,3,7,,52,,
1,1,2020年9月7日,thrive,3,7,,52,,
1,1,2020年9月7日,extent,3,6,,48,,
1,1,2020年9月7日,originality,3,6,,42,,
1,1,2020年9月7日,pretend,3,6,,49,,
1,1,2020年9月7日,pro,3,6,,49,,
1,1,2020年9月7日,radiate,3,6,,47,,
1,1,2020年9月7日,stretch,3,5,,37,,
1,1,2020年9月7日,confront,3,4,,33,,
1,1,2020年9月7日,foodstuff,3,4,,28,,
1,1,2020年9月7日,glance,3,4,,26,,
1,1,2020年9月7日,investigator,3,4,,29,,
1,1,2020年9月7日,retail,3,4,,33,,
1,1,2020年9月7日,amuse,3,3,,22,,
1,1,2020年9月7日,talented,3,3,,21,,
1,1,2020年9月7日,trend,3,3,,23,,
1,1,2020年9月7日,magnificent,3,3,,19,,
1,1,2020年9月7日,conscious,3,2,64,15,,
1,1,2020年9月7日,handicap,3,2,9,11,,
1,1,2020年9月7日,infer,3,2,42,13,,
1,1,2020年9月7日,instructive,3,2,33,13,,
1,1,2020年9月7日,minor,3,2,99,17,,
1,1,2020年9月7日,conform,3,1,83,9,,
1,1,2020年9月7日,dictation,3,1,35,5,,
1,1,2020年9月7日,informative,3,1,90,9,,
1,1,2020年9月7日,instinct,3,1,79,8,,
1,1,2020年9月7日,offend,3,1,70,8,,
1,1,2020年9月7日,recommend,3,1,71,8,,
1,1,2020年9月8日,commitment,4,1,83,91,,
1,1,2020年9月8日,elemental,4,1,95,92,,
1,1,2020年9月8日,organic,4,1,3,87,,
1,1,2020年9月8日,screening,4,1,36,89,,
1,1,2020年9月8日,stake,4,1,32,89,,
1,1,2020年9月8日,frontier,4,1,68,91,,
1,1,2020年9月8日,candid,4,2,88,97,,
1,1,2020年9月8日,comprehend,4,3,49,101,,
1,1,2020年9月8日,deviate,4,3,40,101,,
1,1,2020年9月8日,divert,4,3,67,102,,
1,1,2020年9月8日,fleshy,4,3,75,103,,
1,1,2020年9月8日,persevere,4,3,98,104,,
1,1,2020年9月8日,prospect,4,3,85,104,,
1,1,2020年9月8日,recount,4,3,60,102,,
1,1,2020年9月8日,recreational,4,3,42,101,,
1,1,2020年9月8日,refute,4,3,27,100,,
1,1,2020年9月8日,seep,4,3,78,103,,
1,1,2020年9月8日,symbolism,4,3,65,102,,
1,1,2020年9月8日,deliberation,4,4,40,107,,
1,1,2020年9月8日,furnish,4,4,23,106,,
1,1,2020年9月8日,confine,4,5,73,114,,
1,1,2020年9月8日,inference,4,6,88,121,,
1,1,2020年9月8日,appropriate,4,6,23,118,,
1,1,2020年9月8日,miraculous,4,6,9,117,,
1,1,2020年9月8日,portray,4,6,22,118,,
1,1,2020年9月8日,sensation,4,6,81,121,,
1,1,2020年9月8日,spectacular,4,6,4,117,,
1,1,2020年9月8日,conclusive,4,7,18,124,,
1,1,2020年9月8日,contend,4,7,35,124,,
1,1,2020年9月8日,impose,4,7,14,123,,
1,1,2020年9月8日,nestle,4,7,96,128,,
1,1,2020年9月8日,oversee,4,8,79,132,,
1,1,2020年9月8日,compensate,4,8,53,131,,
1,1,2020年9月8日,ration,4,8,26,130,,
1,1,2020年9月8日,hamper,4,9,57,136,,
1,1,2020年9月8日,hardy,4,9,69,137,,
1,1,2020年9月8日,inhibit,4,9,64,137,,
1,1,2020年9月8日,overtake,4,9,19,135,,
1,1,2020年9月8日,recur,4,9,61,137,,
1,1,2020年9月8日,retain,4,9,55,136,,
1,1,2020年9月8日,retreat,4,9,52,136,,
1,1,2020年9月8日,trickle,4,9,78,138,,
1,1,2020年9月8日,aisle,4,10,165,149,,
1,1,2020年9月8日,assume,4,10,78,144,,
1,1,2020年9月8日,deficit,4,10,95,145,,
1,1,2020年9月8日,devotion,4,10,77,144,,
1,1,2020年9月8日,earnest,4,10,164,149,,
1,1,2020年9月8日,incur,4,10,73,144,,
1,1,2020年9月8日,intervention,4,10,13,140,,
1,1,2020年9月8日,malfunction,4,10,166,149,,
1,1,2020年9月8日,parade,4,10,134,147,,
1,1,2020年9月8日,physiology,4,10,68,143,,
1,1,2020年9月8日,posit,4,10,87,144,,
1,1,2020年9月8日,sore,4,10,170,149,,
1,1,2020年9月8日,thereby,4,10,43,142,,
1,1,2020年9月8日,tournament,4,10,145,148,,
1,1,2020年9月8日,undertake,4,10,79,144,,
1,1,2020年9月9日,agitate,5,1,65,157,,
1,1,2020年9月9日,derivative,5,1,70,157,,
1,1,2020年9月9日,designate,5,1,85,158,,
1,1,2020年9月9日,frenzy,5,1,37,155,,
1,1,2020年9月9日,outpost,5,1,58,156,,
1,1,2020年9月9日,paleontology,5,1,50,156,,
1,1,2020年9月9日,reciprocity,5,1,95,159,,
1,1,2020年9月9日,verbal,5,1,16,154,,
1,1,2020年9月9日,volatile,5,1,82,158,,
1,1,2020年9月9日,mite,5,2,1,160,,
1,1,2020年9月9日,arduous,5,2,3,160,,
1,1,2020年9月9日,Cambrian,5,2,60,163,,
1,1,2020年9月9日,cling,5,2,86,165,,
1,1,2020年9月9日,delineate,5,2,7,160,,
1,1,2020年9月9日,encroach,5,2,75,164,,
1,1,2020年9月9日,endorse,5,2,58,163,,
1,1,2020年9月9日,eradicate,5,2,80,165,,
1,1,2020年9月9日,formidable,5,2,26,161,,
1,1,2020年9月9日,horn,5,2,44,162,,
1,1,2020年9月9日,hyper,5,2,98,166,,
1,1,2020年9月9日,indicative,5,2,24,161,,
1,1,2020年9月9日,prone,5,2,52,163,,
1,1,2020年9月9日,replicate,5,2,9,160,,
1,1,2020年9月9日,requisition,5,2,73,164,,
1,1,2020年9月9日,revolve,5,2,16,161,,
1,1,2020年9月9日,speck,5,2,41,162,,
1,1,2020年9月9日,surplus,5,2,70,164,,
